help EvalString_Knob None 
bdwidth Array_Knob 100.0 
note_font_color ColorChip_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
knobChanged PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 2290649088.0 
bookmark Boolean_Knob 1.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
indicators Array_Knob 0.0 
panel Obsolete_Knob None 
xpos Array_Knob -2147483648.0 
ypos Array_Knob 0.0 
icon File_Knob None 
z_order Array_Knob 0.0 
name String_Knob None 
bdheight Array_Knob 60.0 
note_font_size Array_Knob 11.0 
gl_color ColorChip_Knob 3435954431.0 
