help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
lifetimeEnd Array_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
linecolor AColor_Knob 1.0 
color3_panelDropped Boolean_Knob 0.0 
knobChanged PythonKnob None 
linewidth WH_Knob 0.0 
centerlinecolor_panelDropped Boolean_Knob 0.0 
onCreate PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
updateUI PythonKnob None 
linecolor_panelDropped Boolean_Knob 0.0 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
centerlinewidth WH_Knob 3.0 
icon File_Knob None 
color0_panelDropped Boolean_Knob 0.0 
postage_stamp Boolean_Knob 1.0 
xpos Array_Knob -2147483648.0 
full_format Obsolete_Knob None 
format Format_Knob None 
ypos Array_Knob 0.0 
disable Disable_Knob 0.0 
boxsize WH_Knob 64.0 
color1 AColor_Knob 0.5 
color0 AColor_Knob 0.10000000149 
color3 AColor_Knob 0.5 
color2 AColor_Knob 0.10000000149 
postage_stamp_frame Array_Knob 1.0 
lifetimeStart Array_Knob 0.0 
panel Obsolete_Knob None 
color1_panelDropped Boolean_Knob 0.0 
name String_Knob None 
cached Boolean_Knob 0.0 
centerlinecolor AColor_Knob 1.0 
label Multiline_Eval_String_Knob None 
note_font_size Array_Knob 11.0 
proxy_format Obsolete_Knob None 
color2_panelDropped Boolean_Knob 0.0 
gl_color ColorChip_Knob 0.0 
indicators Array_Knob 0.0 
