help EvalString_Knob None 
icon File_Knob None 
render_order Array_Knob 1.0 
hide_input Boolean_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
infinitiesAreComparable Boolean_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
renderProgress PythonKnob None 
knobChanged PythonKnob None 
errorView Boolean_Knob 0.0 
afterFrameRender PythonKnob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
beforeFrameRender PythonKnob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
beforeRender PythonKnob None 
indicators Array_Knob 0.0 
infinitiesAreComparableState Boolean_Knob 0.0 
continueAfterFailure Boolean_Knob 0.0 
dope_sheet Boolean_Knob 0.0 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
errorTolerance Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
ypos Array_Knob 0.0 
postage_stamp Boolean_Knob 0.0 
warnThres Array_Knob 0.0 
lifetimeStart Array_Knob 0.0 
multiplier Array_Knob 1.0 
errorThres Array_Knob 0.0 
panel Obsolete_Knob None 
note_font Font_Knob None 
Compare PyScript_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
ignoreOneBitError Boolean_Knob 1.0 
note_font_size Array_Knob 11.0 
afterRender PythonKnob None 
disable Disable_Knob 0.0 
gl_color ColorChip_Knob 0.0 
