help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
height Array_Knob 2048.0 
note_font_color ColorChip_Knob 0.0 
onCreate PythonKnob None 
roworder Enumeration_Knob 1.0 
updateUI PythonKnob None 
rows Array_Knob 3.0 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
res Obsolete_Knob None 
endframe Array_Knob -1.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
name String_Knob None 
width Array_Knob 3072.0 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
indicators Array_Knob 0.0 
Y Tiles Obsolete_Knob None 
icon File_Knob None 
columns Array_Knob 4.0 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
gap Array_Knob 0.0 
postage_stamp Boolean_Knob 0.0 
knobChanged PythonKnob None 
lifetimeStart Array_Knob 0.0 
gl_color ColorChip_Knob 0.0 
X Tiles Obsolete_Knob None 
panel Obsolete_Knob None 
center Boolean_Knob 0.0 
cached Boolean_Knob 0.0 
label Multiline_Eval_String_Knob None 
note_font_size Array_Knob 11.0 
disable Disable_Knob 0.0 
startframe Array_Knob -1.0 
splitinputs Boolean_Knob 0.0 
colorder Enumeration_Knob 0.0 
