help EvalString_Knob None 
color AColor_Knob 0.0 
beforeRender PythonKnob None 
hide_input Boolean_Knob 0.0 
bookmark Boolean_Knob 0.0 
channels Channel_Knob None 
note_font_color ColorChip_Knob 0.0 
go Script_Knob None 
maxlumapixdata XY_Knob 0.0 
onCreate PythonKnob None 
operation Enumeration_Knob 1.0 
renderProgress PythonKnob None 
ROI BBox_Knob 0.0 
autocropdata BBox_Knob 0.0 
afterFrameRender PythonKnob None 
tile_color ColorChip_Knob 0.0 
color_panelDropped Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
note_font Font_Knob None 
updateUI PythonKnob None 
maxlumapixvalue Color_Knob 0.0 
beforeFrameRender PythonKnob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
minlumapixdata XY_Knob 0.0 
indicators Array_Knob 0.0 
minlumapixvalue Color_Knob 0.0 
icon File_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
intensitydata AColor_Knob 0.0 
ypos Array_Knob 0.0 
ccrange Array_Knob 0.0 
postage_stamp Boolean_Knob 0.0 
knobChanged PythonKnob None 
postage_stamp_frame Array_Knob 1.0 
lifetimeStart Array_Knob 0.0 
maxlumapixvalue_panelDropped Boolean_Knob 0.0 
minlumapixvalue_panelDropped Boolean_Knob 0.0 
panel Obsolete_Knob None 
intensitydata_panelDropped Boolean_Knob 0.0 
Layer Obsolete_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
resetROI Script_Knob None 
dope_sheet Boolean_Knob 0.0 
label Multiline_Eval_String_Knob None 
note_font_size Array_Knob 11.0 
avgframes Array_Knob 2.0 
afterRender PythonKnob None 
disable Disable_Knob 0.0 
gl_color ColorChip_Knob 0.0 
