help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
frame String_Knob None 
lifetimeEnd Array_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
frame_mode Enumeration_Knob 0.0 
file File_Knob None 
onCreate PythonKnob None 
updateUI PythonKnob None 
before Enumeration_Knob 0.0 
knobChanged PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
Format Obsolete_Knob None 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
origfirst Int_Knob 1.0 
label Multiline_Eval_String_Knob None 
cacheLocal Enumeration_Knob 1.0 
onDestroy PythonKnob None 
version Array_Knob 0.0 
indicators Array_Knob 0.0 
icon File_Knob None 
xpos Array_Knob -2147483648.0 
format Format_Knob None 
after Enumeration_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
on_error Enumeration_Knob 0.0 
proxy File_Knob None 
lifetimeStart Array_Knob 0.0 
panel Obsolete_Knob None 
last Int_Knob 1.0 
name String_Knob None 
cached Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
origlast Int_Knob 1.0 
reload Script_Knob None 
proxy_format Format_Knob None 
useLifetime Boolean_Knob 0.0 
File Obsolete_Knob None 
gl_color ColorChip_Knob 0.0 
origset Boolean_Knob 0.0 
first Int_Knob 1.0 
