help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
displacement_edge_length Array_Knob 20.0 
hide_input Boolean_Knob 0.0 
filter_size WH_Knob 5.0 
note_font_color ColorChip_Knob 0.0 
displacement_edge_threshold Array_Knob 0.01 
onCreate PythonKnob None 
updateUI PythonKnob None 
scale Array_Knob 0.10000000149 
build_normals Boolean_Knob 1.0 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
displacement_normal_threshold Array_Knob 0.9 
indicators Array_Knob 0.0 
displacement_channel Enumeration_Knob 4.0 
icon File_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
displacement_mode Enumeration_Knob 1.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
knobChanged PythonKnob None 
lifetimeStart Array_Knob 0.0 
displacement_max_tessellation Array_Knob 4.0 
panel Obsolete_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
normal_expansion Enumeration_Knob 0.0 
note_font_size Array_Knob 11.0 
filter Enumeration_Knob 1.0 
disable Disable_Knob 0.0 
gl_color ColorChip_Knob 0.0 
displacement_displace_threshold Array_Knob 0.01 
