note_font Font_Knob None 
xpos Array_Knob -2147483648.0 
knobChanged PythonKnob None 
name String_Knob None 
tile_color ColorChip_Knob 0.0 
hide_input Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
ypos Array_Knob 0.0 
note_font_size Array_Knob 11.0 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
note_font_color ColorChip_Knob 0.0 
indicators Array_Knob 0.0 
gl_color ColorChip_Knob 0.0 
onCreate PythonKnob None 
icon File_Knob None 
updateUI PythonKnob None 
panel Obsolete_Knob None 
help EvalString_Knob None 
