help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
channels Channel_Knob None 
note_font_color ColorChip_Knob 0.0 
blurquality Array_Knob 15.0 
threshold Array_Knob 0.0 
EdgeLayer Obsolete_Knob None 
updateUI PythonKnob None 
erodesize Array_Knob 0.0 
onCreate PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
output Channel_Knob None 
bookmark Boolean_Knob 0.0 
edgedetector Enumeration_Knob 1.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
indicators Array_Knob 0.0 
icon File_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
blursize WH_Knob 0.0 
postage_stamp Boolean_Knob 0.0 
knobChanged PythonKnob None 
lifetimeStart Array_Knob 0.0 
outputchannel Obsolete_Knob None 
edgelayer Obsolete_Knob None 
panel Obsolete_Knob None 
maskedgedetect Channel_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
disable Disable_Knob 0.0 
Threshold Obsolete_Knob None 
gl_color ColorChip_Knob 0.0 
