help EvalString_Knob None 
uniform_scale Double_Knob 1.0 
color Color_Knob 1.0 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
xform_order Enumeration_Knob 0.0 
file_menu Menu_Knob None 
intensity Array_Knob 1.0 
note_font_color ColorChip_Knob 0.0 
world_matrix IArray_Knob 0.0 
mirror Boolean_Knob 0.0 
pivot XYZ_Knob 0.0 
onCreate PythonKnob None 
color_panelDropped Boolean_Knob 0.0 
import_chan Obsolete_Knob None 
knobChanged PythonKnob None 
matrix IArray_Knob 1.0 
export_chan Obsolete_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
skew XYZ_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
transform Axis_Knob None 
updateUI PythonKnob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
indicators Array_Knob 0.0 
icon File_Knob None 
translate XYZ_Knob 0.0 
blur_size WH_Knob 1.0 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
gl_selectable Obsolete_Knob None 
gl_render_mode Obsolete_Knob None 
ypos Array_Knob 0.0 
disable Disable_Knob 0.0 
scaling Scale_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
rotate XYZ_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
lifetimeStart Array_Knob 0.0 
selectable Boolean_Knob 1.0 
snap_menu Menu_Knob None 
gl_display Obsolete_Knob None 
panel Obsolete_Knob None 
note_font Font_Knob None 
gl_wireframe_overlay Obsolete_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
label Multiline_Eval_String_Knob None 
note_font_size Array_Knob 11.0 
filter Enumeration_Knob 1.0 
rot_order Enumeration_Knob 4.0 
gl_color ColorChip_Knob 0.0 
useMatrix Boolean_Knob 0.0 
display Enumeration_Knob 1.0 
