help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
red_size WH_Knob 0.0 
hide_input Boolean_Knob 0.0 
green_m Array_Knob 0.0 
red_m Array_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
red_i Array_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
maskinvert Link_Knob None 
knobChanged PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
window Obsolete_Knob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
lock_connections Obsolete_Knob None 
black Color_Knob 0.0 
blue_i Array_Knob 0.0 
blue_m Array_Knob 0.0 
indicators Array_Knob 0.0 
panel Obsolete_Knob None 
green_i Array_Knob 0.0 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
black_panelDropped Boolean_Knob 0.0 
presets Pulldown_Knob 0.0 
minimum Color_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
blue_size WH_Knob 0.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
green_size WH_Knob 0.0 
lifetimeStart Array_Knob 0.0 
gizmo_file Obsolete_Knob None 
seed Array_Knob 0.0 
icon File_Knob None 
maskgrain Boolean_Knob 0.0 
name String_Knob None 
minimum_panelDropped Boolean_Knob 0.0 
cached Boolean_Knob 0.0 
mapsize Obsolete_Knob None 
note_font_size Array_Knob 11.0 
useLifetime Boolean_Knob 0.0 
gl_color ColorChip_Knob 0.0 
