help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
knobChanged PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
shutter_offset Obsolete_Knob None 
label Multiline_Eval_String_Knob None 
shuttercustomoffset Array_Knob 0.0 
onDestroy PythonKnob None 
shutteroffset Enumeration_Knob 1.0 
indicators Array_Knob 0.0 
icon File_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
lifetimeStart Array_Knob 0.0 
panel Obsolete_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
uv Channel_Knob None 
note_font_size Array_Knob 11.0 
shutter Array_Knob 0.5 
useLifetime Boolean_Knob 0.0 
gl_color ColorChip_Knob 0.0 
