help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
StopPong PyScript_Knob None 
onCreate PythonKnob None 
updateUI PythonKnob None 
StopBrickBreaker PyScript_Knob None 
knobChanged PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
window Obsolete_Knob None 
label Multiline_Eval_String_Knob None 
PlayPong PyScript_Knob None 
onDestroy PythonKnob None 
lock_connections Obsolete_Knob None 
User Tab_Knob None 
indicators Array_Knob 0.0 
panel Obsolete_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
lifetimeStart Array_Knob 0.0 
gizmo_file Obsolete_Knob None 
icon File_Knob None 
StartBrickBreaker PyScript_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
mapsize Obsolete_Knob None 
note_font_size Array_Knob 11.0 
useLifetime Boolean_Knob 0.0 
gl_color ColorChip_Knob 0.0 
