layer ChannelMask_Knob None 
channel_selector Enumeration_Knob 0.0 
help EvalString_Knob None 
key3 EvalString_Knob None 
key2 EvalString_Knob None 
key1 EvalString_Knob None 
hide_input Boolean_Knob 0.0 
key4 EvalString_Knob None 
note_font_color ColorChip_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
knobChanged PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
value4 EvalString_Knob None 
value3 EvalString_Knob None 
value2 EvalString_Knob None 
value1 EvalString_Knob None 
indicators Array_Knob 0.0 
icon File_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
gain Array_Knob 1.0 
lifetimeStart Array_Knob 0.0 
panel Obsolete_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
dope_sheet Boolean_Knob 0.0 
colorspace Enumeration_Knob 0.0 
note_font_size Array_Knob 11.0 
useLifetime Boolean_Knob 0.0 
gl_color ColorChip_Knob 0.0 
display Enumeration_Knob 0.0 
gamma Array_Knob 1.0 
view Enumeration_Knob 1.0 
