help EvalString_Knob None 
beforeRender PythonKnob None 
hide_input Boolean_Knob 0.0 
xpos Array_Knob -2147483648.0 
note_font_color ColorChip_Knob 0.0 
cached Boolean_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
renderProgress PythonKnob None 
knobChanged PythonKnob None 
afterFrameRender PythonKnob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
beforeFrameRender PythonKnob None 
onDestroy PythonKnob None 
indicators Array_Knob 0.0 
icon File_Knob None 
point3d XYZ_Knob 0.0 
pointA XY_Knob 50.0 
pointB XY_Knob 100.0 
pointC XY_Knob 150.0 
gen_axis Script_Knob None 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
ref_timeB Array_Knob 0.0 
ref_timeC Array_Knob 0.0 
lifetimeStart Array_Knob 0.0 
ref_timeA Array_Knob 0.0 
panel Obsolete_Knob None 
lifetimeEnd Array_Knob 0.0 
note_font Font_Knob None 
name String_Knob None 
cameraMovType Enumeration_Knob 0.0 
dope_sheet Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
afterRender PythonKnob None 
useLifetime Boolean_Knob 0.0 
gl_color ColorChip_Knob 0.0 
point2d XY_Knob 0.0 
