help EvalString_Knob None 
render Obsolete_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
xform_order Enumeration_Knob 0.0 
file_menu Menu_Knob None 
note_font_color ColorChip_Knob 0.0 
file File_Knob None 
cast_shadow Boolean_Knob 1.0 
pivot XYZ_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
panel Obsolete_Knob None 
import_chan Obsolete_Knob None 
knobChanged PythonKnob None 
render_mode Enumeration_Knob 4.0 
uniform_scale Double_Knob 1.0 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
skew XYZ_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
transform Axis_Knob None 
name String_Knob None 
cacheLocal Enumeration_Knob 1.0 
onDestroy PythonKnob None 
version Array_Knob 0.0 
gl_selectable Obsolete_Knob None 
indicators Array_Knob 0.0 
icon File_Knob None 
gl_wireframe_overlay Obsolete_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
receive_shadow Boolean_Knob 1.0 
gl_render_mode Obsolete_Knob None 
ypos Array_Knob 0.0 
disable Disable_Knob 0.0 
range_first Array_Knob 1.0 
scaling Scale_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
rotate XYZ_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
lifetimeStart Array_Knob 0.0 
selectable Boolean_Knob 1.0 
snap_menu Menu_Knob None 
gl_display Obsolete_Knob None 
matrix IArray_Knob 1.0 
geo_select GeoSelect_Knob None 
note_font Font_Knob None 
translate XYZ_Knob 0.0 
export_chan Obsolete_Knob None 
cached Boolean_Knob 0.0 
useLifetime Boolean_Knob 0.0 
range_last Array_Knob 1.0 
label Multiline_Eval_String_Knob None 
note_font_size Array_Knob 11.0 
reload Script_Knob None 
rot_order Enumeration_Knob 4.0 
gl_color ColorChip_Knob 0.0 
useMatrix Boolean_Knob 0.0 
display Enumeration_Knob 4.0 
