help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
in Channel_Knob None 
onCreate PythonKnob None 
updateUI PythonKnob None 
out Channel_Knob None 
blue Enumeration_Knob 3.0 
knobChanged PythonKnob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
green2 Enumeration_Knob 10.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
black Enumeration_Knob 7.0 
indicators Array_Knob 0.0 
white Enumeration_Knob 8.0 
icon File_Knob None 
red Enumeration_Knob 1.0 
red2 Enumeration_Knob 9.0 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
in2 Channel_Knob None 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
lifetimeStart Array_Knob 0.0 
alpha Enumeration_Knob 4.0 
panel Obsolete_Knob None 
out2 Channel_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
useLifetime Boolean_Knob 0.0 
green Enumeration_Knob 2.0 
gl_color ColorChip_Knob 0.0 
