help EvalString_Knob None 
uniform_scale Double_Knob 1.0 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
xform_order Enumeration_Knob 0.0 
transform Axis_Knob None 
note_font_color ColorChip_Knob 0.0 
pivot XYZ_Knob 0.0 
import_chan Obsolete_Knob None 
onCreate PythonKnob None 
updateUI PythonKnob None 
knobChanged PythonKnob None 
matrix IArray_Knob 1.0 
export_chan Obsolete_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
skew XYZ_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
file_menu Menu_Knob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
indicators Array_Knob 0.0 
icon File_Knob None 
translate XYZ_Knob 0.0 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
scaling Scale_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
lifetimeStart Array_Knob 0.0 
selectable Boolean_Knob 1.0 
snap_menu Menu_Knob None 
panel Obsolete_Knob None 
note_font Font_Knob None 
rotate XYZ_Knob 0.0 
name String_Knob None 
cached Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
rot_order Enumeration_Knob 4.0 
gl_color ColorChip_Knob 0.0 
useMatrix Boolean_Knob 0.0 
display Enumeration_Knob 1.0 
