help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
srcgrid Grid_Knob None 
src_copy Script_Knob None 
distortion Array_Knob 1.0 
note_font_color ColorChip_Knob 0.0 
knobChanged PythonKnob None 
showboth Boolean_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
src_hide Obsolete_Knob None 
style Obsolete_Knob None 
renderres Array_Knob 30.0 
src_clear Script_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
onDestroy PythonKnob None 
dst_key Script_Knob None 
label Multiline_Eval_String_Knob None 
dstgrid Grid_Knob None 
useLifetime Boolean_Knob 0.0 
indicators Array_Knob 0.0 
icon File_Knob None 
first_is_mask Boolean_Knob 0.0 
curveres Array_Knob 7.0 
dst_clear Script_Knob None 
lifetimeEnd Array_Knob 0.0 
dst_hide Obsolete_Knob None 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
src_key Script_Knob None 
postage_stamp Boolean_Knob 0.0 
dst_copy Script_Knob None 
lifetimeStart Array_Knob 0.0 
gl_color ColorChip_Knob 0.0 
panel Obsolete_Knob None 
note_font Font_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
dst_paste Script_Knob None 
xpos Array_Knob -2147483648.0 
note_font_size Array_Knob 11.0 
autokey Boolean_Knob 1.0 
disable Disable_Knob 0.0 
showwhat Enumeration_Knob 4.0 
src_paste Script_Knob None 
blend Array_Knob 0.0 
