help EvalString_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
in Array_Knob 1.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
out Array_Knob 10.0 
knobChanged PythonKnob None 
lut LookupCurves_Knob None 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
indicators Array_Knob 0.0 
panel Obsolete_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
lifetimeStart Array_Knob 0.0 
icon File_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
useLifetime Boolean_Knob 0.0 
gl_color ColorChip_Knob 0.0 
