help EvalString_Knob None 
render Obsolete_Knob None 
autolabel PythonKnob None 
hide_input Boolean_Knob 0.0 
src0 XYZ_Knob -0.5 
src1 XYZ_Knob 0.5 
knobChanged PythonKnob None 
set_key_shape Script_Knob None 
updateUI PythonKnob None 
panel Obsolete_Knob None 
del_anim_shape Script_Knob None 
onCreate PythonKnob None 
render_mode Enumeration_Knob 6.0 
tile_color ColorChip_Knob 0.0 
my_reset_counter Array_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
reset_shape Script_Knob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
src_use_bbox Boolean_Knob 1.0 
indicators Array_Knob 0.0 
icon File_Knob None 
gl_wireframe_overlay Obsolete_Knob None 
paste_shape Script_Knob None 
p2 XYZ_Knob 0.5 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
note_font Font_Knob None 
gl_selectable Obsolete_Knob None 
gl_render_mode Obsolete_Knob None 
ypos Array_Knob 0.0 
disable Disable_Knob 0.0 
postage_stamp Boolean_Knob 0.0 
reset_src_shape Script_Knob None 
postage_stamp_frame Array_Knob 1.0 
lifetimeStart Array_Knob 0.0 
selectable Boolean_Knob 1.0 
copy_shape Script_Knob None 
gl_display Obsolete_Knob None 
name String_Knob None 
geo_select GeoSelect_Knob None 
p3 XYZ_Knob 0.5 
p0 XYZ_Knob -0.5 
p1 XYZ_Knob -0.5 
p6 XYZ_Knob 0.5 
p7 XYZ_Knob 0.5 
p4 XYZ_Knob -0.5 
p5 XYZ_Knob -0.5 
cached Boolean_Knob 0.0 
dope_sheet Boolean_Knob 0.0 
src_color ColorChip_Knob 4278190335.0 
note_font_size Array_Knob 11.0 
note_font_color ColorChip_Knob 0.0 
del_key_shape Script_Knob None 
gl_color ColorChip_Knob 0.0 
display Enumeration_Knob 6.0 
