help EvalString_Knob None 
icon File_Knob None 
autolabel PythonKnob None 
hide_input Boolean_Knob 0.0 
twist Array_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
spatial_jitter Array_Knob 1.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
shutter Array_Knob 0.5 
scale Array_Knob 1.0 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
temporal_jitter Array_Knob 0.0 
shutter_offset Obsolete_Knob None 
label Multiline_Eval_String_Knob None 
shuttercustomoffset Array_Knob 0.0 
onDestroy PythonKnob None 
shutteroffset Enumeration_Knob 1.0 
samples Array_Knob 1.0 
indicators Array_Knob 0.0 
panel Obsolete_Knob None 
multisampling Obsolete_Knob None 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
gl_render_mode Obsolete_Knob None 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
knobChanged PythonKnob None 
lifetimeStart Array_Knob 0.0 
name String_Knob None 
center XY_Knob 320.0 
antialiasing Enumeration_Knob 0.0 
dope_sheet Boolean_Knob 0.0 
useLifetime Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
filter Enumeration_Knob 1.0 
cached Boolean_Knob 0.0 
subdivisions Array_Knob 0.0 
disable Disable_Knob 0.0 
gl_color ColorChip_Knob 0.0 
