help EvalString_Knob None 
icon File_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
wrap_v Enumeration_Knob 0.0 
wrap_u Enumeration_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
scale Array_Knob 1.0 
note_font Font_Knob None 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
indicators Array_Knob 0.0 
translate XY_Knob 0.0 
udim_enable Boolean_Knob 0.0 
xpos Array_Knob -2147483648.0 
lifetimeEnd Array_Knob 0.0 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
knobChanged PythonKnob None 
lifetimeStart Array_Knob 0.0 
panel Obsolete_Knob None 
udim Array_Knob 1001.0 
name String_Knob None 
cached Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
tile_v Array_Knob 0.0 
tile_u Array_Knob 0.0 
disable Disable_Knob 0.0 
gl_color ColorChip_Knob 0.0 
